Store,Date,Time,Term,Trans,SNAP_ID,Total Spent with SNAP,Total Spent on Fruit & Vegatables,Total Spent on Other Items,Value of Coupons Issued,Count of Coupons Issued,CASH,CHECKS,EBT,EBT-OTHER,WIC,CREDIT CARDS,DEBIT CARDS,OTHER TENDERS
2,20200101,120115,4,80,818,48.84,7.6,41.24,5,1,0,0,48.84,0,0,0,0,0
2,20200101,133211,2,26,4789,55.35,10.46,44.89,10,1,0,0,55.35,0,0,0,0,0
4,20200101,105240,3,24,2984,14.75,8.43,12.36,5,1,0,0,14.75,0,0,6.04,0,0
4,20200101,120902,2,58,1036,127.45,33.29,94.16,10,1,0,0,127.45,0,0,0,0,0
4,20200101,121446,4,155,3257,17.06,14.53,2.53,10,1,0,0,17.06,0,0,0,0,0
4,20200101,133904,4,198,9877,30.63,16.24,14.39,10,1,0,0,30.63,0,0,0,0,0
4,20200101,173658,2,113,9919,167.61,16.19,151.42,10,1,0,0,167.61,0,0,0,0,0
6,20200101,92641,5,15,6852,61.71,6.78,54.93,5,1,0,0,61.71,0,0,0,0,0
6,20200101,111103,1,70,3694,93.24,15.42,77.82,10,1,0,0,93.24,0,0,0,0,0
6,20200101,131514,4,11,3694,9.26,6.88,2.38,5,1,0,0,9.26,0,0,0,0,0
6,20200101,132918,4,20,1065,34.75,20.42,14.33,10,1,0,0,34.75,0,0,0,0,0
6,20200101,141614,4,43,8302,41.72,7.49,34.32,5,1,0.09,0,41.72,0,0,0,0,0
6,20200101,143204,2,98,5652,124.11,7.98,116.13,5,1,0,0,124.11,0,0,0,0,0
6,20200101,145428,2,119,5714,100.17,9.33,90.84,5,1,0,0,100.17,0,0,0,0,0
6,20200101,155709,4,95,7604,137.22,9.37,152.5,5,1,24.65,0,137.22,0,0,0,0,0
6,20200101,161043,4,103,8479,183.53,19.29,164.24,10,1,0,0,183.53,0,0,0,0,0
9,20200101,130741,2,60,3736,51.38,5.49,45.89,5,1,0,0,51.38,0,0,0,0,0
9,20200101,172830,2,203,5251,77.51,37.23,40.28,10,1,0,0,77.51,0,0,0,0,0
10,20200101,141754,3,126,5072,90.25,5.76,84.49,5,1,0,0,90.25,0,0,0,0,0
1,20200102,70520,1,4,860,11.76,17.96,-6.2,10,1,0,0,11.76,0,0,0,0,0
1,20200102,90527,3,42,799,35.13,5.21,29.92,5,1,0,0,35.13,0,0,0,0,0
1,20200102,94631,3,77,3555,334.14,59.41,274.73,10,1,0,0,334.14,0,0,0,0,0
1,20200102,105715,2,27,1707,16,11.45,49.77,10,1,-50,0,16,0,0,0,70.22,25
1,20200102,115040,2,58,9653,82.83,5.74,77.09,5,1,0,0,82.83,0,0,0,0,0
1,20200102,121346,2,71,9528,132.19,12.32,119.87,10,1,0,0,132.19,0,0,0,0,0
1,20200102,125712,2,97,1418,15.32,8.36,6.96,5,1,0,0,15.32,0,0,0,0,0
1,20200102,132825,4,31,9016,136.58,16.5,123.16,10,1,3.08,0,136.58,0,0,0,0,0
1,20200102,140001,4,50,771,9.8,9.13,0.67,5,1,0,0,9.8,0,0,0,0,0
1,20200102,150401,5,2,2666,24.41,10.51,13.9,10,1,0,0,24.41,0,0,0,0,0
1,20200102,152237,4,86,4311,118.26,5.3,112.96,5,1,0,0,118.26,0,0,0,0,0
1,20200102,154046,4,96,8673,72.69,10.65,62.04,10,1,0,0,72.69,0,0,0,0,0
1,20200102,154116,5,40,6793,27.51,15.13,12.38,10,1,0,0,27.51,0,0,0,0,0
1,20200102,160238,3,217,1154,10.56,8.98,1.58,5,1,0,0,10.56,0,0,0,0,0
1,20200102,162305,4,121,1412,36.44,6.52,29.92,5,1,0,0,36.44,0,0,0,0,0
1,20200102,163619,2,173,7791,16.24,16.94,-0.7,10,1,0,0,16.24,0,0,0,0,0
1,20200102,174410,5,128,4123,118.02,21.18,96.84,10,1,0,0,118.02,0,0,0,0,0
2,20200102,122041,2,170,6466,52.8,7.38,45.42,5,1,0,0,52.8,0,0,0,0,0
2,20200102,140843,2,289,2914,39.46,6.25,33.21,5,1,0,0,39.46,0,0,0,0,0
4,20200102,111506,36,28,5661,45,10.57,44.89,10,1,0,0,45,0,0,0,10.46,0
4,20200102,131058,1,38,1836,16,5.29,19.62,5,1,8.91,0,16,0,0,0,0,0
4,20200102,132832,2,174,1235,42.71,19.25,23.46,10,1,0,0,42.71,0,0,0,0,0
4,20200102,135014,1,47,199,67.52,13.22,54.3,10,1,0,0,67.52,0,0,0,0,0
4,20200102,180359,1,91,6268,77.74,11.11,66.63,10,1,0,0,77.74,0,0,0,0,0
6,20200102,93908,3,59,1470,15.43,14.65,10.78,10,1,0,0,15.43,0,0,0,0,10
6,20200102,102512,6,45,4715,20.72,10.38,10.34,10,1,0,0,20.72,0,0,0,0,0
