Store,Date,Time,Term,Trans,SNAP_ID,Total Spent with SNAP,Total Spent on Fruit & Vegatables,Total Spent on Other Items,Value of Coupons Redeemed,Count of Coupons Redeemed,CASH,CHECKS,EBT,EBT-OTHER,WIC,CREDIT CARDS,DEBIT CARDS,OTHER TENDERS
1,20190101,143106,4,108,9748,63.41,10.14,53.27,10,1,0,0,63.41,0,0,0,0,0
1,20190102,112206,3,136,799,3,5.21,-2.21,5,1,0,0,3,0,0,0,0,0
1,20190102,120009,3,171,0,0,13.02,-4.86,10,1,8.16,0,0,0,0,0,0,0
1,20190102,141545,3,295,0,0,10.25,17.04,10,1,0,0,0,0,0,0,27.29,0
1,20190102,183216,2,275,6222,45.9,22.96,22.94,5,1,0,0,45.9,0,0,0,0,0
1,20190103,135952,4,72,1036,79.81,25.84,53.97,10,1,0,0,79.81,0,0,0,0,0
1,20190103,174927,71,171,6222,36.56,13.37,25.19,10,1,2,0,36.56,0,0,0,0,0
4,20190103,151241,5,99,0,0,11.05,7.99,10,1,0,0,0,0,0,19.04,0,0
4,20190103,165606,4,279,7203,15.43,15.95,-0.52,10,1,0,0,15.43,0,0,0,0,0
9,20190103,162305,6,79,5399,78.46,8.15,70.31,5,1,0,0,78.46,0,0,0,0,0
1,20190104,101850,5,46,0,0,12.04,-4,10,1,8.04,0,0,0,0,0,0,0
1,20190104,154529,1,16,0,0,14.93,-12.46,10,1,0,0,0,0,0,2.47,0,0
9,20190104,180855,2,255,2716,148.35,23.27,125.08,5,1,0,0,148.35,0,0,0,0,0
1,20190105,152058,5,165,9748,15.7,13.48,2.22,10,1,0,0,15.7,0,0,0,0,0
4,20190105,120324,6,86,7834,80.61,14.56,66.05,10,1,0,0,80.61,0,0,0,0,0
4,20190105,145222,4,47,0,0,20.81,123.04,10,1,0,0,0,0,0,0,143.85,0
9,20190105,135950,2,201,1555,49.3,7.78,41.52,5,1,0,0,49.3,0,0,0,0,0
9,20190105,142635,2,213,0,0,16.11,-3.51,10,1,0,0,0,0,5.86,0,6.74,0
9,20190105,151322,1,138,2525,6.44,16.44,-10,10,1,0,0,6.44,0,0,0,0,0
9,20190105,183546,2,349,6702,44.87,17.49,44.41,10,1,17.03,0,44.87,0,0,0,0,0
1,20190106,172502,2,104,0,0,13.71,0.39,10,1,0,0,0,0,0,14.1,0,0
4,20190106,153406,4,103,0,0,20.5,-14.14,10,1,6.36,0,0,0,0,0,0,0
4,20190106,181956,2,269,4157,95.57,15.48,91.79,10,1,0,0,95.57,0,0,11.7,0,0
9,20190106,151017,3,288,1658,26.27,16.71,75.46,10,1,0,0,26.27,0,0,0,0,65.9
1,20190107,162224,1,175,3697,27.21,13.81,13.4,10,1,0,0,27.21,0,0,0,0,0
4,20190107,103843,4,48,7761,47.54,44.75,71.28,20,2,-20,88.49,47.54,0,0,0,0,0
9,20190107,100702,2,69,8242,177.28,77.24,105.08,10,1,0,0,177.28,0,0,5.04,0,0
9,20190107,151141,4,122,2525,14.62,7.05,8.24,5,1,0.67,0,14.62,0,0,0,0,0
9,20190107,160509,5,156,9680,13.29,14.17,1.12,10,1,2,0,13.29,0,0,0,0,0
9,20190107,214524,2,445,3177,68.87,31.27,37.6,10,1,0,0,68.87,0,0,0,0,0
1,20190108,133522,2,78,1036,67.93,15.19,52.74,10,1,0,0,67.93,0,0,0,0,0
1,20190108,170045,3,235,3038,112.77,32.68,81.31,10,1,1.22,0,112.77,0,0,0,0,0
4,20190108,125336,2,197,0,0,15.59,16.98,10,1,0,0,0,0,0,0,0,32.57
4,20190108,174038,4,128,6464,35.8,6.33,29.47,5,1,0,0,35.8,0,0,0,0,0
9,20190108,140946,3,132,8337,162,26.86,135.14,10,1,0,0,162,0,0,0,0,0
1,20190109,113246,3,172,0,0,10.48,7.71,5,1,0,0,0,0,0,18.19,0,0
1,20190109,141540,1,38,6786,28.55,17.79,10.76,5,1,0,0,28.55,0,0,0,0,0
4,20190109,172407,4,178,265,20.31,17.95,23.65,10,1,0,0,20.31,0,0,21.29,0,0
4,20190109,181133,4,193,265,194.72,38.45,203.35,10,1,0,0,194.72,0,47.08,0,0,0
9,20190109,130909,1,50,1215,8.13,8.94,-0.81,5,1,0,0,8.13,0,0,0,0,0
9,20190109,145357,6,101,2525,10.05,11.97,-1.92,5,1,0,0,10.05,0,0,0,0,0
9,20190109,182348,3,263,0,0,11.35,13.24,10,1,0,0,0,0,0,0,24.59,0
1,20190110,120230,1,34,4311,25.46,13.14,19.61,10,1,0,0,25.46,0,0,0,0,7.29
1,20190110,130132,4,33,3697,69.03,11.46,57.57,10,1,0,0,69.03,0,0,0,0,0
9,20190110,105444,2,107,7761,1.94,11.94,-10,10,1,0,0,1.94,0,0,0,0,0
1,20190111,135740,4,54,8337,36.94,23.31,13.63,10,1,0,0,36.94,0,0,0,0,0
1,20190111,153923,1,103,8563,3.21,5.33,-2.12,5,1,0,0,3.21,0,0,0,0,0
1,20190111,165229,4,182,4056,144.13,49.48,111.44,10,1,0,0,144.13,0,16.79,0,0,0
4,20190111,152115,1,97,0,0,8.08,1.05,5,1,-20,0,0,0,0,0,29.13,0
4,20190111,172538,5,286,6614,10.36,8.58,1.78,5,1,0,0,10.36,0,0,0,0,0
9,20190111,152654,1,112,7791,9.31,14.75,-5.44,5,1,0,0,9.31,0,0,0,0,0
9,20190111,154420,1,124,2525,14.14,10.87,6.79,10,1,3.52,0,14.14,0,0,0,0,0
1,20190112,144806,3,185,1081,22.52,17.89,4.63,5,1,0,0,22.52,0,0,0,0,0
